"Example","Chapter","Book Section","Output Type","Book Value","Package Value","Difference","Status","Diagnosis","Action Taken"
"Chapter15",15,"package inventory","No exported Exam function","not applicable","no Exam15.* object present","","UNVERIF","No exported Chapter 15 example function is present in the package source.","Searched R/, data/, and vignettes/ for exported example objects; Chapter 15 book examples use Data Sets 15.1-15.3, but this package currently has no Chapter 15 data or Exam object. No numerical verification row can be produced for a non-existent exported example."
"Chapter16",16,"package inventory","No exported Exam function","not applicable","no Exam16.* object present","","UNVERIF","No exported Chapter 16 example function is present in the package source.","Searched R/, data/, and vignettes/ for exported example objects; Chapter 16 book examples use smoothing-spline sections, but this package currently has no Chapter 16 data or Exam object. No numerical verification row can be produced for a non-existent exported example."
"Exam17.1",17,"absent from 2024 2nd edition as exact numbered example","Legacy example status","not in 2nd edition","legacy topic retained","","UNVERIF","Example from 1st edition. Not in 2nd edition.","Classified as LEGACY after searching the extracted 2024 book text; The 2024 book labels repeated-measures examples as Example 17.3.1 and 17.3.2 rather than Example 17.1. No 2024 book numerical comparison is available under this example number."
"Exam17.2",17,"absent from 2024 2nd edition as exact numbered example","Legacy example status","not in 2nd edition","legacy topic retained","","UNVERIF","Example from 1st edition. Not in 2nd edition.","Classified as LEGACY after searching the extracted 2024 book text; The 2024 book labels repeated-measures examples as Example 17.3.1 and 17.3.2 rather than Example 17.2. No 2024 book numerical comparison is available under this example number."
"Exam18.1",18,"absent from 2024 2nd edition as exact numbered example","Legacy example status","not in 2nd edition","legacy topic retained","","UNVERIF","Example from 1st edition. Not in 2nd edition.","Classified as LEGACY after searching the extracted 2024 book text; The 2024 book uses section examples such as 18.2.1; no exact Example 18.1 label matches this package object. No 2024 book numerical comparison is available under this example number."
"Exam18.2",18,"absent from 2024 2nd edition as exact numbered example","Legacy example status","not in 2nd edition","legacy topic retained","","UNVERIF","Example from 1st edition. Not in 2nd edition.","Classified as LEGACY after searching the extracted 2024 book text; The 2024 book uses section examples such as 18.2.1; no exact Example 18.2 label matches this package object. No 2024 book numerical comparison is available under this example number."
"Chapter19",19,"package inventory","No exported Exam function","not applicable","no Exam19.* object present","","UNVERIF","No exported Chapter 19 example function is present in the package source.","Searched R/, data/, and vignettes/ for exported example objects; Chapter 19 is conceptual/Bayesian prior setup in this package surface; no Exam19 object is exported. No numerical verification row can be produced for a non-existent exported example."
"Chapter20",20,"package inventory","No exported Exam function","not applicable","no Exam20.* object present","","UNVERIF","No exported Chapter 20 example function is present in the package source.","Searched R/, data/, and vignettes/ for exported example objects; Chapter 20 book examples are Bayesian GLMM examples, but this package currently has no Exam20 object or Chapter 20 dataset. No numerical verification row can be produced for a non-existent exported example."
"Exam21.1",21,"absent from 2024 2nd edition as exact numbered example","Legacy example status","not in 2nd edition","legacy topic retained","","UNVERIF","Example from 1st edition. Not in 2nd edition.","Classified as LEGACY after searching the extracted 2024 book text; The 2024 book labels power examples as Example 21.1.1, 21.1.2, 21.3.1, 21.3.2, 21.3.3, 21.4.1, and 21.4.2 rather than Example 21.1. No 2024 book numerical comparison is available under this example number."
"Exam21.2",21,"absent from 2024 2nd edition as exact numbered example","Legacy example status","not in 2nd edition","legacy topic retained","","UNVERIF","Example from 1st edition. Not in 2nd edition.","Classified as LEGACY after searching the extracted 2024 book text; The 2024 book labels power examples as Example 21.1.1, 21.1.2, 21.3.1, 21.3.2, 21.3.3, 21.4.1, and 21.4.2 rather than Example 21.2. No 2024 book numerical comparison is available under this example number."
