"Example","Chapter","Book Section","Output Type","Book Value","Package Value","Difference","Status","Diagnosis","Action Taken"
"Exam8.1",8,"8.4.2","Type III a F","14.94","14.942827","0.002827","EXACT","Balanced Gaussian factorial matches the printed GLIMMIX fixed-effect test.","Fitted stats::lm(y ~ a * b) and extracted stats::anova."
"Exam8.1",8,"8.4.2","Type III a p","0.0011","0.001133","3.3e-05","EXACT","Balanced Gaussian factorial matches the printed GLIMMIX fixed-effect test.","Fitted stats::lm(y ~ a * b) and extracted stats::anova."
"Exam8.1",8,"8.4.2","Type III b F","11.5","11.496559","0.003441","EXACT","Balanced Gaussian factorial matches the printed GLIMMIX fixed-effect test.","Fitted stats::lm(y ~ a * b) and extracted stats::anova."
"Exam8.1",8,"8.4.2","Type III b p","6e-04","0.000607","7e-06","EXACT","Balanced Gaussian factorial matches the printed GLIMMIX fixed-effect test.","Fitted stats::lm(y ~ a * b) and extracted stats::anova."
"Exam8.1",8,"8.4.2","Type III a:b F","6.02","6.023822","0.003822","EXACT","Balanced Gaussian factorial matches the printed GLIMMIX fixed-effect test.","Fitted stats::lm(y ~ a * b) and extracted stats::anova."
"Exam8.1",8,"8.4.2","Type III a:b p","0.0099","0.009935","3.5e-05","EXACT","Balanced Gaussian factorial matches the printed GLIMMIX fixed-effect test.","Fitted stats::lm(y ~ a * b) and extracted stats::anova."
"Exam8.1",8,"8.4.2","a0 b0 LSMean","50.5","50.5","0","EXACT","Matches printed a*b least-squares mean.","Extracted emmeans::emmeans(fit, ~ a * b)."
"Exam8.1",8,"8.4.2","a0 b0 LSMean SE","2.5611","2.56106","4e-05","EXACT","Matches printed a*b least-squares mean standard error.","Extracted emmeans::emmeans(fit, ~ a * b)."
"Exam8.1",8,"8.4.2","a0 b1 LSMean","59.75","59.75","0","EXACT","Matches printed a*b least-squares mean.","Extracted emmeans::emmeans(fit, ~ a * b)."
"Exam8.1",8,"8.4.2","a0 b1 LSMean SE","2.5611","2.56106","4e-05","EXACT","Matches printed a*b least-squares mean standard error.","Extracted emmeans::emmeans(fit, ~ a * b)."
"Exam8.1",8,"8.4.2","a0 b2 LSMean","71.5","71.5","0","EXACT","Matches printed a*b least-squares mean.","Extracted emmeans::emmeans(fit, ~ a * b)."
"Exam8.1",8,"8.4.2","a0 b2 LSMean SE","2.5611","2.56106","4e-05","EXACT","Matches printed a*b least-squares mean standard error.","Extracted emmeans::emmeans(fit, ~ a * b)."
"Exam8.1",8,"8.4.2","a1 b0 LSMean","67.75","67.75","0","EXACT","Matches printed a*b least-squares mean.","Extracted emmeans::emmeans(fit, ~ a * b)."
"Exam8.1",8,"8.4.2","a1 b0 LSMean SE","2.5611","2.56106","4e-05","EXACT","Matches printed a*b least-squares mean standard error.","Extracted emmeans::emmeans(fit, ~ a * b)."
